https://www.tandfonline.com/doi/pdf/10.2147/CLEP.S170304,,,,,,
ICD10,Description,Location,,,,
Diabetes mellitus (DM) ,, E11.2,,,,
Diabetes mellitus (DM) ,, E11.3,,,,
Diabetes with complications ,, E11.4,,,,
Diabetes with complications ,,E11.5,,,,
Diabetes with complications ,, E11.7,,,,
Diabetes with complications ,, E12.2,,,,
Diabetes with complications ,, E12.3,,,,
Diabetes with complications ,, E12.4,,,,
Diabetes with complications ,,E12.5,,,,
Diabetes with complications ,, E12.7,,,,
Diabetes with complications ,, E13.2,,,,
Diabetes with complications ,, E13.3,,,,
Diabetes with complications ,, E13.4,,,,
Diabetes with complications ,,E13.5,,,,
Diabetes with complications ,, E13.7,,,,
Diabetes with complications ,, E14.2,,,,
Diabetes with complications ,, E14.3,,,,
Diabetes with complications ,, E14.4,,,,
Diabetes with complications ,,E14.5,,,,
Diabetes with complications ,, E14.7 ,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Chronic pulmonary disease ,,,,,,
Chronic pulmonary disease ,416.8,I27.8,,,,
Chronic pulmonary disease , 416.9, I27.9,,,,
Chronic pulmonary disease , 490.x, J40.x,,,,
Chronic pulmonary disease , 491.x, J41.x,,,,
Chronic pulmonary disease , 492.x, J42.x,,,,
Chronic pulmonary disease , 493.x, J43.x,,,,
Chronic pulmonary disease , 494.x, J44.x,,,,
Chronic pulmonary disease ,505.x, J45.x,,,,
Chronic pulmonary disease , 506.4, J46.x,,,,
Chronic pulmonary disease , 508.1,J47.x,,,,
Chronic pulmonary disease , 508.8 ,J60.x,,,,
Chronic pulmonary disease ,,J61.x,,,,
Chronic pulmonary disease ,,J62.x,,,,
Chronic pulmonary disease ,,J63.x,,,,
Chronic pulmonary disease ,,J64.x,,,,
Chronic pulmonary disease ,,J65.x,,,,
Chronic pulmonary disease ,,J66.x,,,,
Chronic pulmonary disease ,,J67.x,,,,
Chronic pulmonary disease ,, J68.4,,,,
Chronic pulmonary disease ,, J70.1,,,,
Chronic pulmonary disease ,, J70.3 ,,,,
,,,,,,
,,,,,,
,,,,,,
Chronic obstructive pulmonary disease ,,,,,,
Chronic obstructive pulmonary disease ,490,J40,,,,
Chronic obstructive pulmonary disease , 491.0, J41.0,,,,
Chronic obstructive pulmonary disease , 491.1, J41.1,,,,
Chronic obstructive pulmonary disease , 491.2, J41.8,,,,
Chronic obstructive pulmonary disease , 491.20, J42,,,,
Chronic obstructive pulmonary disease , 491.21, J43.0,,,,
Chronic obstructive pulmonary disease , 491.22, J43.1,,,,
Chronic obstructive pulmonary disease , 491.8, J43.2,,,,
Chronic obstructive pulmonary disease , 491.9, J43.8,,,,
Chronic obstructive pulmonary disease , 492.0, J43.9,,,,
Chronic obstructive pulmonary disease , 492.8, J44.0,,,,
Chronic obstructive pulmonary disease , 494, J44.1,,,,
Chronic obstructive pulmonary disease ,494, J44.9,,,,
Chronic obstructive pulmonary disease ,494.1, J47.0,,,,
Chronic obstructive pulmonary disease ,496, J47.1,,,,
Chronic obstructive pulmonary disease ,, J47.9 ,,,,
,,,,,,
,,,,,,
,,,,,,
Peptic ulcer disease ,,,,,,
Peptic ulcer disease ,531.x,K25.x,,,,
Peptic ulcer disease ,532.x,K26.x,,,,
Peptic ulcer disease ,533.x,K27.x,,,,
Peptic ulcer disease ,534.x ,K28.x ,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Mild liver disease ,,,,,,
Mild liver disease ,070.22,B18.x,,,,
,, K70.0,,,,
,, K70.1,,,,
,, K70.2,,,,
,,K70.3,,,,
Mild liver disease , 070.23,,,,,
Mild liver disease , 070.32, K70.9,,,,
Mild liver disease , 070.33, K71.3,,,,
Mild liver disease , 070.44, K71.4,,,,
Mild liver disease , 070.54, K71.5,,,,
Mild liver disease , 070.6, K71.7,,,,
Mild liver disease , 070.9, K73.x,,,,
Mild liver disease , 570.x, K74.x,,,,
Mild liver disease ,571.x, K76.0,,,,
Mild liver disease ,573.3, K76.2,,,,
Mild liver disease ,573.4, K76.3,,,,
Mild liver disease ,573.8,K76.4,,,,
Mild liver disease ,573.9, K76.8,,,,
Mild liver disease ,, K76.9,,,,
Mild liver disease ,, Z94.4 ,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Moderate or severe liver disease ,456.0,I85.0,,,,
Moderate or severe liver disease ,456.1, I85.9,,,,
Moderate or severe liver disease ,456.2, I86.4,,,,
Moderate or severe liver disease , 572.2, I98.2,,,,
Moderate or severe liver disease , 572.3, K70.4,,,,
Moderate or severe liver disease , 572.4, K71.1,,,,
Moderate or severe liver disease , 572.5, K72.1,,,,
Moderate or severe liver disease , 572.6, K72.9,,,,
Moderate or severe liver disease , 572.7, K76.5,,,,
Moderate or severe liver disease ,572.8 , K76.6,,,,
Moderate or severe liver disease ,, K76.7 ,,,,
,,,,,,
,,,,,,
,,,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",140.x,C00.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",141.x,C01.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",142.x,C02.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",143.x,C03.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",144.x,C04.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",145.x,C05.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",146.x,C06.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",147.x,C07.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",148.x,C08.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",149.x,C09.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",150.x,C10.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",151.x,C11.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",152.x,C12.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",153.x,C13.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",154.x,C14.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",155.x,C15.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",156.x,C16.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",157.x,C17.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",158.x,C18.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",159.x,C19.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",160.x,C20.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",161.x,C21.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",162.x,C22.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",163.x,C23.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",164.x,C24.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",165.x,C25.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",166.x,C26.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",167.x, C30.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",168.x, C31.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",169.x, C32.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",170.x, C33.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",171.x,C34.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",172.x, C37.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 174.x–195.8, C38.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 200.x, C39.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 201.x, C40.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 202.x, C41.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 203.x, C43.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 204.x, C45.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 205.x, C46.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 206.x, C47.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 207.x, C48.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",208.x, C49.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 238.6 , C50.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C51.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C52.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C53.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C54.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C55.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C56.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C57.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",,C58.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C60.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C61.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C62.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C63.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C64.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C65.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C66.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C67.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C68.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C69.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C70.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C71.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C72.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C73.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C74.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C75.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",,C76.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C81.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C82.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C83.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C84.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",,C85.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C88.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C90.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C91.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C92.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C93.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C94.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C95.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C96.x,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",,C97.x ,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",,,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",,,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",,,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",,,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",,,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",,,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",,,,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",,,,,,
,,,,,,
,,,,,,
Metastatic solid tumor,196.x,C77.x,,,,
Metastatic solid tumor,197.x,C78.x ,,,,
Metastatic solid tumor,198.x,C79.x ,,,,
Metastatic solid tumor,199.x,C80.x ,,,,
,,,,,,
,,,,,,
Human immunodeficiencyvirus infection ,042.x,B20.x,,,,
Human immunodeficiencyvirus infection ,043.x,B21.x,,,,
Human immunodeficiencyvirus infection ,044.x ,B22.x,,,,
Human immunodeficiencyvirus infection ,, B24.x ,,,,
,,,,,,
,,,,,,
,,,,,,
Anemia ,280,D46.1,,,,
Anemia ,281, D46.4,,,,
Anemia ,282, D50,,,,
Anemia ,283, D51,,,,
Anemia ,284, D52,,,,
Anemia ,285 , D53,,,,
Anemia ,, D54,,,,
Anemia ,, D55,,,,
Anemia ,, D56,,,,
Anemia ,, D57,,,,
Anemia ,, D58,,,,
Anemia ,, D59,,,,
Anemia ,, D60,,,,
Anemia ,, D61,,,,
Anemia ,, D62,,,,
Anemia ,, D63,,,,
Anemia ,,D64 ,,,,
,,,,,,
,,,,,,
Rheumatic disease ,,,,,,
Rheumatic disease ,446.5,M05.x,,,,
Rheumatic disease , 710.0, M06.x,,,,
Rheumatic disease , 710.1, M31.5,,,,
Rheumatic disease , 710.2, M32.x,,,,
Rheumatic disease , 710.3, M33.x,,,,
Rheumatic disease ,710.4,M34.x,,,,
Rheumatic disease , 714.0, M35.1,,,,
Rheumatic disease , 714.1, M35.3,,,,
Rheumatic disease ,714.2, M36.0 ,,,,
Rheumatic disease , 714.8,,,,,
Rheumatic disease , 725.x ,,,,,
,,,,,,
,,,,,,
Chronic kidney disease ,580,I12,,,,
Chronic kidney disease , 581, I13,,,,
Chronic kidney disease , 582, N00,,,,
Chronic kidney disease , 583, N01,,,,
Chronic kidney disease , 584, N02,,,,
Chronic kidney disease , 585, N03,,,,
Chronic kidney disease , 586, N04,,,,
Chronic kidney disease , 587,N05,,,,
Chronic kidney disease , 588, N07,,,,
Chronic kidney disease , 589 , N11,,,,
Chronic kidney disease ,, N14,,,,
Chronic kidney disease ,, N17,,,,
Chronic kidney disease ,, N18,,,,
Chronic kidney disease ,, N19,,,,
Chronic kidney disease ,, Q61 ,,,,
,,,,,,
,,,,,,
,,,,,,
Bone Fractures due to traffic accidents ,800,,,,,
Bone Fractures due to traffic accidents ,801,,,,,
Bone Fractures due to traffic accidents ,802,,,,,
Bone Fractures due to traffic accidents ,803,,,,,
Bone Fractures due to traffic accidents ,804,,,,,
Bone Fractures due to traffic accidents ,805,,,,,
Bone Fractures due to traffic accidents ,806,,,,,
Bone Fractures due to traffic accidents ,807,,,,,
Bone Fractures due to traffic accidents ,808,,,,,
Bone Fractures due to traffic accidents ,809,,,,,
Bone Fractures due to traffic accidents ,810,,,,,
Bone Fractures due to traffic accidents ,811,,,,,
Bone Fractures due to traffic accidents ,812,,,,,
Bone Fractures due to traffic accidents ,813,,,,,
Bone Fractures due to traffic accidents ,814,,,,,
Bone Fractures due to traffic accidents ,815,,,,,
Bone Fractures due to traffic accidents ,816,,,,,
Bone Fractures due to traffic accidents ,817,,,,,
Bone Fractures due to traffic accidents ,818,,,,,
Bone Fractures due to traffic accidents ,819,,,,,
Bone Fractures due to traffic accidents ,820,,,,,
Bone Fractures due to traffic accidents ,821,,,,,
Bone Fractures due to traffic accidents ,822,,,,,
Bone Fractures due to traffic accidents ,823,,,,,
Bone Fractures due to traffic accidents ,824,,,,,
Bone Fractures due to traffic accidents ,825,,,,,
Bone Fractures due to traffic accidents ,826,,,,,
Bone Fractures due to traffic accidents ,827,,,,,
Bone Fractures due to traffic accidents ,828,,,,,
Bone Fractures due to traffic accidents ,829,,,,,
Bone Fractures due to traffic accidents ,E800,,,,,
Bone Fractures due to traffic accidents ,E801,,,,,
Bone Fractures due to traffic accidents ,E802,,,,,
Bone Fractures due to traffic accidents ,E803,,,,,
Bone Fractures due to traffic accidents ,E804,,,,,
Bone Fractures due to traffic accidents ,E805,,,,,
Bone Fractures due to traffic accidents ,E806,,,,,
Bone Fractures due to traffic accidents ,E807,,,,,
Bone Fractures due to traffic accidents ,E808,,,,,
Bone Fractures due to traffic accidents ,E809,,,,,
Bone Fractures due to traffic accidents ,E810,,,,,
Bone Fractures due to traffic accidents ,E811,,,,,
Bone Fractures due to traffic accidents ,E812,,,,,
Bone Fractures due to traffic accidents ,E813,,,,,
Bone Fractures due to traffic accidents ,E814,,,,,
Bone Fractures due to traffic accidents ,E815,,,,,
Bone Fractures due to traffic accidents ,E816,,,,,
Bone Fractures due to traffic accidents ,E817,,,,,
Bone Fractures due to traffic accidents ,E818,,,,,
Bone Fractures due to traffic accidents ,E819,,,,,
Bone Fractures due to traffic accidents ,E820,,,,,
Bone Fractures due to traffic accidents ,E821,,,,,
Bone Fractures due to traffic accidents ,E822,,,,,
Bone Fractures due to traffic accidents ,E823,,,,,
Bone Fractures due to traffic accidents ,E824,,,,,
Bone Fractures due to traffic accidents ,E825,,,,,
Bone Fractures due to traffic accidents ,E826,,,,,
Bone Fractures due to traffic accidents ,E827,,,,,
Bone Fractures due to traffic accidents ,E828,,,,,
Bone Fractures due to traffic accidents ,E829,,,,,
Bone Fractures due to traffic accidents ,E830,,,,,
Bone Fractures due to traffic accidents ,E831,,,,,
Bone Fractures due to traffic accidents ,E832,,,,,
Bone Fractures due to traffic accidents ,E833,,,,,
Bone Fractures due to traffic accidents ,E834,,,,,
Bone Fractures due to traffic accidents ,E835,,,,,
Bone Fractures due to traffic accidents ,E836,,,,,
Bone Fractures due to traffic accidents ,E837,,,,,
Bone Fractures due to traffic accidents ,E838,,,,,
Bone Fractures due to traffic accidents ,E839,,,,,
Bone Fractures due to traffic accidents ,E840,,,,,
Bone Fractures due to traffic accidents ,E841,,,,,
Bone Fractures due to traffic accidents ,E842,,,,,
Bone Fractures due to traffic accidents ,E843,,,,,
Bone Fractures due to traffic accidents ,E844,,,,,
Bone Fractures due to traffic accidents ,E845,,,,,
Bone Fractures due to traffic accidents ,E846,,,,,
Bone Fractures due to traffic accidents ,E847,,,,,
Bone Fractures due to traffic accidents ,E848,,,,,
