ICD-9_or_10-CM,Description,GroupNumber,Grouping,Table,ICD9_or_10
534.71,"Chronic gastrojejunal ulcer without mention of haemorrhage or perforation, with obstruction ",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-9-CM
534.90,"Gastrojejunal ulcer, unspecified as acute or chronic, without mention of haemorrhage or perforation, without mention of obstruction",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-9-CM
534.91,"Gastrojejunal ulcer, unspecified as acute or chronic, without mention of haemorrhage or perforation, with obstruction ",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-9-CM
535.00,"Acute gastritis, without mention of haemorrhage",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-9-CM
535.10,"Atrophic gastritis, without mention of haemorrhage",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-9-CM
535.20,"Gastric mucosal hypertrophy, without mention of haemorrhage",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-9-CM
535.30,"Alcoholic gastritis, without mention of haemorrhage",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-9-CM
535.40,"Other specified gastritis, without mention of haemorrhage",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-9-CM
535.50,"Unspecified gastritis and gastroduodenitis, without mention of haemorrhage ",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-9-CM
535.60 ,"Duodenitis, without mention of haemorrhage",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-9-CM
562.00,Diverticulosis of small intestine (without mention of haemorrhage) ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-9-CM
562.01,Diverticulitis of small intestine (without mention of haemorrhage) ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-9-CM
562.10, Diverticulosis of colon (without mention of haemorrhage) ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-9-CM
562.11,Diverticulitis of colon (without mention of haemorrhage) ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-9-CM
K20.0,Eosinophilic oesophagitis ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K20.8,Other oesophagitis ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K20.9,"Oesophagitis, unspecified ",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K21.0,Gastro-oesophageal reflux disease with oesophagitis ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K25.1,Acute gastric ulcer with perforation ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K25.3,Acute gastric ulcer without haemorrhage or perforation,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K25.5,Chronic or unspecified gastric ulcer with perforation,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K25.7,Chronic gastric ulcer without haemorrhage or perforation,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K25.9,"Gastric ulcer, unspecified as acute or chronic, without haemorrhage or perforation",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K26.3,Acute duodenal ulcer without haemorrhage or perforation ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K26.5,Chronic or unspecified duodenal ulcer with perforation,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K26.7,Chronic duodenal ulcer without haemorrhage or perforation,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K26.9,"Duodenal ulcer, unspecified as acute or chronic, without haemorrhage or perforation",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K27.1,"Acute peptic ulcer, site unspecified, with perforation",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K27.3,"Acute peptic ulcer, site unspecified, without haemorrhage or perforation",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K27.5,"Chronic or unspecified peptic ulcer, site unspecified, with perforation",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K27.7,"Chronic peptic ulcer, site unspecified, without haemorrhage or perforation",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K27.9,"Peptic ulcer, site unspecified, unspecified as acute or chronic, without haemorrhage or perforation",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K28.1,Acute gastrojejunal ulcer with perforation,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K28.3,Acute gastrojejunal ulcer without haemorrhage or perforation,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K28.5,Chronic or unspecified gastrojejunal ulcer with perforation,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K28.7,Chronic gastrojejunal ulcer without haemorrhage or perforation,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K28.9,"Gastrojejunal ulcer, unspecified as acute or chronic, without haemorrhage or perforation",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K29.00,Acute gastritis without bleeding,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K29.20,Alcoholic gastritis without bleeding,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K29.30,Chronic superficial gastritis without bleeding,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K29.40, Chronic atrophic gastritis without bleeding,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K29.50,Unspecified chronic gastritis without bleeding,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K29.60,Other gastritis without bleeding,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K29.70,"Gastritis, unspecified, without bleeding",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K29.80,Duodenitis without bleeding,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K29.90,"Gastroduodenitis, unspecified, without bleeding",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K56.699,Other intestinal obstruction unspecified as to partial versus complete obstruction,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K57.00,Diverticulitis of small intestine with perforation and abscess without bleeding,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K57.10,Diverticulosis of small intestine without perforation or abscess without bleeding,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K57.12,Diverticulitis of small intestine without perforation or abscess without bleeding,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K57.20,Diverticulitis of large intestine with perforation and abscess without bleeding,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K57.30,Diverticulosis of large intestine without perforation or abscess without bleeding,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K57.32,Diverticulitis of large intestine without perforation or abscess without bleeding,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K57.40,Diverticulitis of both small and large intestine with perforation and abscess without bleeding ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K57.50,Diverticulosis of both small and large intestine without perforation or abscess without bleeding ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K57.52,Diverticulitis of both small and large intestine without perforation or abscess without bleeding,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K57.80,"Diverticulitis of intestine, part unspecified, with perforation and abscess without bleeding",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K57.90,"Diverticulosis of intestine, part unspecified, without perforation or abscess without bleeding ",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K57.92 ,"Diverticulitis of intestine, part unspecified, without perforation or abscess without bleeding",2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K64.0,First degree haemorrhoids ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K64.1,Second degree haemorrhoids ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K64.2,Third degree haemorrhoids ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K64.3,Fourth degree haemorrhoids ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K64.4,Residual haemorrhoidal skin tags ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K64.5,Perianal venous thrombosis ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K64.8,Other haemorrhoids ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
K64.9,Unspecified haemorrhoids ,2,GI_Bleed,Supplementary Table 3: Possible bleed codes ,ICD-10-CM
