,SnomedCTConceptId,medcodeid,Observations,OrigReadCode,CleansedReadCode,Term.x,SnomedDescriptionId,Release,EmisCodeCategoryId,Term.y,Disease,Otherinstructions,origin,Comments,X,X.1
143,190389009,292581016,30,C10F4-1,C10F411,Type II diabetes mellitus with ulcer,292581016,NA,32,Type II diabetes mellitus with ulcer,Diabetes,NA,['Manchester],diabetes.snomed.txt,NA,DM
144,190389009,280551000006114,300,C1094,C109400,Non-insulin-dependent diabetes mellitus with ulcer,292580015,NA,32,Type II diabetes mellitus with ulcer,Diabetes,NA,['Manchester],diabetes.snomed.txt,NA,DM
145,190389009,84631000006119,90,C1094-2,C109412,Type 2 diabetes mellitus with ulcer,292579018,NA,32,Type II diabetes mellitus with ulcer,Diabetes,NA,['Manchester],diabetes.snomed.txt,NA,DM
146,190389009,292579018,1000,C10F4,C10F400,Type 2 diabetes mellitus with ulcer,292579018,NA,32,Type II diabetes mellitus with ulcer,Diabetes,NA,['Manchester],diabetes.snomed.txt,NA,DM
148,190406000,292606016,100,C10A1,C10A100,Malnutrition-related diabetes mellitus with ketoacidosis,292606016,NA,32,Malnutrition-related diabetes mellitus with ketoacidosis,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
149,190410002,719601000006110,5,C10A5,C10A500,Malnutrition-related diabetes mellitus with peripheral circulatory complications,292610018,NA,32,malnutritn-relat diabetes melitus wth periph circul complctn,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
150,190416008,127051000006112,700,C10B0,C10B000,Steroid-induced diabetes mellitus without complication,292616012,NA,32,Steroid-induced diabetes mellitus without complication,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
151,190447002,127041000006110,20000,C11y0,C11y000,Steroid-induced diabetes,292667010,NA,5,diabetes mellitus induced by steroids,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
152,190447002,616241000006112,7000,C10B,C10B.00,Diabetes mellitus induced by steroids,292667010,NA,5,diabetes mellitus induced by steroids,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
153,197605007,303846016,700,K01x1,K01x100,Nephrotic syndrome in diabetes mellitus,303846016,NA,32,nephrotic syndrome in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
154,197605007,303847013,30,K01x1-1,K01x111,Kimmelstiel - Wilson disease,303847013,NA,32,nephrotic syndrome in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
155,197679002,821471000006111,10,K0A5X,K0A5X00,"Hereditary nephropathy, unspecif morphological changes",303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
156,197679002,430601000006115,30,Kyu08,Kyu0800,"[X]Unspecif nephritic syndr, minor glomerular abnormality",303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
157,197679002,388161000006110,5,Kyu00,Kyu0000,[X]Glomerular disorders in infectious+parasitic diseases CE,303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
158,197679002,388791000006118,20,Kyu0F,Kyu0F00,"[X]Hereditary nephropathy, unspecif morphological changes",303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
159,197679002,388191000006119,4,Kyu05,Kyu0500,[X]Glomerular disordrs/systemic disordrs/connectiv tissue CE,303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
160,197679002,430101000006111,30,Kyu09,Kyu0900,"[X]Unsp nephrit synd, diff mesang prolif glomerulonephritis",303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
161,197679002,4788721000006110,3,^ESCTGL478872,NA,Glomerulopathy,2837648015,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
162,197679002,736981000006111,1,K0A4X,K0A4X00,"Isolated proteinuria, with oth specif morpholog changes",303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
163,197679002,388141000006111,400,Kyu0,Kyu0.00,[X]Glomerular diseases,303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
164,197679002,388181000006117,10,Kyu06,Kyu0600,[X]Glomerular disorders in other diseases CE,303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
165,197679002,388211000006118,6,Kyu02,Kyu0200,[X]Glomerulr disordrs/bld dis+disordr inv immune mechansm CE,303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
166,197679002,388171000006115,1,Kyu01,Kyu0100,[X]Glomerular disorders in neoplastic diseases CE,303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
167,197679002,388201000006116,1,Kyu04,Kyu0400,"[X]Glomerulr disordr/oth endocrine,nutritnl+metabolic dis CE",303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
168,197679002,305162014,3,Kyu07,Kyu0700,"[X]Rapidly progressive nephritic syndrome, other",303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
169,197679002,81261000006110,200,K03X,K03X.00,"Unsp nephrit synd, diff mesang prolif glomerulonephritis",303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
170,197679002,303967017,1000,K0A,K0A..00,Glomerular disease,303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
171,197679002,394551000006114,3,Kyu0D,Kyu0D00,"[X]Isolated proteinuria, with oth specif morpholog changes",303967017,NA,32,[x]glomerular disorders in diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
172,198501000000100,299261000000111,400000,66Ai,66Ai.00,Diabetic 6 month review,299261000000111,NA,1,Diabetic 6 month review,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
173,198841000000104,300021000000110,10000,9N1o,9N1o.00,Seen in multidisciplinary diabetic clinic,300021000000110,NA,37,seen in multidisciplinary diabetic clinic,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
174,199223000,2967831017,10,L180A,NA,Pre-existing type 1 diabetes mellitus in pregnancy,306106018,NA,32,diabetes mellitus during pregnancy/childbirth/puerperium,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
175,199223000,616211000006113,400,L180z,L180z00,Diabetes mellitus in pregnancy/childbirth/puerperium NOS,306106018,NA,32,diabetes mellitus during pregnancy/childbirth/puerperium,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
176,199223000,616191000006112,5000,L180,L180.00,"Diabetes mellitus during pregnancy, childbirth and the puerperium",306106018,NA,32,diabetes mellitus during pregnancy/childbirth/puerperium,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
177,199223000,616151000006118,40,L1800,L180000,Diabetes mellitus - unspec whether in pregnancy/puerperium,306106018,NA,32,diabetes mellitus during pregnancy/childbirth/puerperium,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
178,199223000,887971000006115,400,L180-99,L180.99,Preg.+ diabetes mellitus,887971000006115,NA,32,diabetes mellitus during pregnancy/childbirth/puerperium,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
179,199225007,306108017,500,L1801,L180100,Diabetes mellitus during pregnancy - baby delivered,306108017,NA,32,diabetes mellitus during pregnancy - baby delivered,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
180,199227004,306110015,500,L1803,L180300,Diabetes mellitus during pregnancy - baby not yet delivered,306110015,NA,32,diabetes mellitus during pregnancy - baby not yet delivered,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
181,199228009,616221000006117,7,L1804,L180400,Diabetes mellitus in the puerperium - baby delivered during previous episode of care,2923439012,NA,32,diabetes mellitus in pueperium - baby previously delivered,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
183,199230006,306113018,200,L1806,L180600,"Pre-existing diabetes mellitus, non-insulin-dependent",306113018,NA,32,"Pre-existing diabetes mellitus, non-insulin-dependent",Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
184,199230006,4796321000006113,100,^ESCTPR479632,NA,Pre-existing type 2 diabetes mellitus,2967812011,NA,32,"Pre-existing diabetes mellitus, non-insulin-dependent",Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
185,199231005,306114012,2,L1807,L180700,Pre-existing malnutrition-related diabetes mellitus,306114012,NA,32,Pre-existing malnutrition-related diabetes mellitus,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
186,201723002,309738018,200,N0300-1,N030011,Diabetic cheiropathy,309738018,NA,32,diabetic cheiroarthropathy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
187,201723002,4808891000006119,1,^ESCTDI480889,NA,Diabetic cheirarthropathy,309736019,NA,32,diabetic cheiroarthropathy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
188,201723002,309737011,1000,N0300,N030000,Diabetic cheiroarthropathy,309737011,NA,32,diabetic cheiroarthropathy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
189,201723002,4808881000006117,200,^ESCTDI480888,NA,Diabetic hand syndrome,309735015,NA,32,diabetic cheiroarthropathy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
190,202151000000105,308071000000112,6000,93C4,93C4.00,Patient consent given for addition to diabetic register,308071000000112,NA,37,patient consent given for addition to diabetic register,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
191,23045005,2867431000006112,6,^ESCTIN286743,NA,Insulin dependent diabetes mellitus type IA,38709010,NA,31,Insulin dependent diabetes mellitus type IA,Diabetes,NA,['Manchester],diabetes.snomed.txt,NA,DM
192,23045005,2867421000006114,2,^ESCTIN286742,NA,Insulin dependent diabetes mellitus type 1A,2967774012,NA,31,Insulin dependent diabetes mellitus type IA,Diabetes,NA,['Manchester],diabetes.snomed.txt,NA,DM
193,236499007,5095031000006114,600,^ESCTMI509503,NA,Microalbuminuric diabetic nephropathy,354506019,NA,32,Diabetes mellitus with persistent microalbuminuria,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
194,236500003,354509014,1000,K08yA,K08yA00,Proteinuric diabetic nephropathy,354509014,NA,32,proteinuric diabetic nephropathy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
195,236500003,354508018,40,K08yA-1,K08yA11,Clinical diabetic nephropathy,354508018,NA,32,proteinuric diabetic nephropathy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
196,236500003,13791991000006116,30,^ESCT1379199,NA,Proteinuric nephropathy due to diabetes mellitus,3775761019,NA,32,proteinuric diabetic nephropathy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
197,237599002,1223147012,2000,C10FJ-1,C10FJ11,Insulin treated Type II diabetes mellitus,1223147012,NA,32,Insulin treated non-insulin dependent diabetes mellitus,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
200,237599002,914391000006116,700000,C10FJ,C10FJ00,Insulin treated Type 2 diabetes mellitus,2967820013,NA,32,Insulin treated non-insulin dependent diabetes mellitus,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
203,237599002,841351000006110,2000,C109J-2,C109J12,Insulin treated Type II diabetes mellitus,1223147012,NA,32,Insulin treated non-insulin dependent diabetes mellitus,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
206,237599002,1223148019,1000,C109J-1,C109J11,Insulin treated non-insulin dependent diabetes mellitus,1223148019,NA,32,Insulin treated non-insulin dependent diabetes mellitus,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
209,237599002,5109461000006115,4,^ESCTDI510946,NA,Diabetes type 2 on insulin,3037103012,NA,32,Insulin treated non-insulin dependent diabetes mellitus,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
212,237599002,840951000006119,70000,C109J,C109J00,Insulin treated Type 2 diabetes mellitus,2967820013,NA,32,Insulin treated non-insulin dependent diabetes mellitus,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
215,237601000,356078011,70,ESCTSE11,NA,Secondary endocrine diabetes mellitus,356078011,NA,32,Secondary endo diab mell,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
216,237604008,5109621000006112,100,^ESCTMO510962,NA,MODY - Maturity onset diabetes glucokinase-related,356087019,NA,32,Maturity onset diabetes in youth type 2,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
217,237604008,5109611000006116,900,^ESCTMO510961,NA,MODY - Maturity onset diabetes in youth type 2,356086011,NA,32,Maturity onset diabetes in youth type 2,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
218,237604008,5109561000006119,40,^ESCTMA510956,NA,"Maturity onset diabetes of the young, type 2",2967875018,NA,32,Maturity onset diabetes in youth type 2,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
219,237604008,356085010,800,C10D-1,C10D.11,Maturity onset diabetes in youth type 2,356085010,NA,32,Maturity onset diabetes in youth type 2,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
220,237604008,840971000006112,800,C10D,C10D.00,Diabetes mellitus autosomal dominant type II,356082013,NA,32,Maturity onset diabetes in youth type 2,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
221,237613005,356101019,4,ESCTHY1,NA,Hyperproinsulinaemia,356101019,NA,32,Hyperproinsulinemia,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
222,237618001,356111014,8,ESCTIN27,NA,Insulin-dependent diabetes mellitus secretory diarrhoea syndrome,356111014,NA,32,Insulin-dependent diabetes mellitus secretory diarrhoea synd,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
223,237619009,356118015,30,ESCTDI21,NA,Diabetes-deafness syndrome maternally transmitted,356118015,NA,32,Ballinger-Wallace syndrome,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
224,237632004,459162010,100,C10EE-2,C10EE12,Insulin dependent diabetes mellitus with hypoglycaemic coma,356141011,NA,32,Insulin dependent diabetes mellitus with hypoglycaemic coma,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
225,237632004,771361000006113,200,C108E,C108E00,Insulin dependent diabetes mellitus with hypoglycaemic coma,356141011,NA,32,Insulin dependent diabetes mellitus with hypoglycaemic coma,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
226,237632004,5110081000006110,1,^ESCTHY511008,NA,Hypoglycemic event in diabetes,356142016,NA,32,Insulin dependent diabetes mellitus with hypoglycaemic coma,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
227,237632004,5110071000006112,100,^ESCTHY511007,NA,Hypoglycaemic event in diabetes,356141011,NA,32,Insulin dependent diabetes mellitus with hypoglycaemic coma,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
228,237632004,14073081000006114,300,^ESCT1407308,NA,Hypoglycaemic event due to diabetes,3873341011,NA,32,Insulin dependent diabetes mellitus with hypoglycaemic coma,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
229,243860001,216195015,90000,66AU,66AU.00,Diabetes care by hospital only,364695019,NA,1,diabetes care by hospital only,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
230,243860001,5192411000006114,3000,^ESCTDI519241,NA,Diabetic monitoring status,364695019,NA,1,diabetes care by hospital only,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
231,26298008,14056961000006112,5,^ESCT1405696,NA,Ketoacidotic coma due to diabetes mellitus,3873331013,NA,32,Diabetes mellitus with ketoacidotic coma,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
232,26298008,616381000006111,800,C103,C103.00,Diabetes mellitus with ketoacidotic coma,44045012,NA,32,Diabetes mellitus with ketoacidotic coma,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
233,26298008,881471000006115,60,C103-99,C103.99,Diabetes with coma,881471000006115,NA,32,Diabetes mellitus with ketoacidotic coma,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
235,267604001,399419012,200,F3813,F381300,Myasthenic syndrome due to diabetic amyotrophy,399419012,NA,32,Myasthenic syndrome due to diabetic mellitus (disorder),Diabetes,NA,['Manchester],efi-diabetes.snomed.txt,NA,DM   
236,268517006,401528011,800000,66AA,66AA.00,Injection sites,401528011,NA,1,injection sites - diabetic,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
237,268517006,777231000006119,100000,66AA-1,66AA.11,Diabetic monitoring - injection sites,401527018,NA,1,injection sites - diabetic,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
238,268519009,401531012,400000,66AJ,66AJ.00,Diabetic - poor control,401531012,NA,27,Diabetic - poor control,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
240,268519009,913681000006111,400,C10E8-2,C10E812,Insulin dependent diabetes mellitus - poor control,401531012,NA,27,Diabetic - poor control,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
242,268519009,5505651000006113,40,^ESCTDI550565,NA,Diabetes mellitus uncontrolled,2920470017,NA,27,Diabetic - poor control,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
244,268519009,772181000006112,800,C1088,C108800,Insulin dependent diabetes mellitus - poor control,401531012,NA,27,Diabetic - poor control,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
246,268519009,264716012,20000,66AJz,66AJz00,Diabetic - poor control NOS,401531012,NA,27,Diabetic - poor control,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
248,279291000000109,479511000000117,20000,66An,66An.00,Diabetes type 1 review,479511000000117,NA,1,diabetes type 1 review,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
249,279321000000104,8084961000006111,4,^ESCTDI808496,NA,Diabetes type II review,1667931000000115,NA,1,diabetes type 2 review,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
250,279321000000104,479571000000110,300000,66Ao,66Ao.00,Diabetes type 2 review,479571000000110,NA,1,diabetes type 2 review,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
252,284449005,1495356017,6,ESCTCO18-7,NA,Total lipoatrophy,1495356017,NA,32,DM,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
253,284449005,423112012,4,ESCTCO18-4,NA,Congenital total lipodystrophy,423112012,NA,32,DM,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
254,284449005,3029742016,4,ESCTCO18,NA,Congenital generalized lipodystrophy,3029742016,NA,32,DM,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
256,290002008,429971019,500,C10E4,C10E400,Unstable type 1 diabetes mellitus,429971019,NA,32,Unstable type 1 diabetes mellitus,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
